00010111,00010111,00010111,00010111,00010111,00010111,00010111
00011110,00011110,00011110,00011110,00011110,00011110,00011110
01101011,00101011,00101011,00101011,00101011,00101011,00101011
01010101,01010101,01010101,01010101,01010101,01010101,01010101
01110100,01110100,01110100,01110100,01110100,01110100,01110100
10110100,10110100,10110100,10110100,10110100,10110100,10110100
11110000,11110000,11110000,11110000,11110000,11110000,11110000
00010111,00010111,00010111,00010111,00010111,00010111,00010111
00011110,00011110,00011110,00011110,00011110,00011110,00011110
00101011,00101011,00101011,00101011,00101011,00101011,00101011
01010101,01010101,01010101,01010101,01010101,01010101,01010101
01110100,01110100,01110100,01110100,01110100,01110100,01110100
10110100,10110100,10110100,10110100,10110100,10110100,10110100
11110000,11110000,11110000,11110000,11110000,11110000,11110000
00010111,00010111,00010111,00010111,00010111,00010111,00010111
00011110,00011110,00011110,00011110,00011110,00011110,00011110
00101011,00101011,00101011,00101011,00101011,00101011,00101011
01010101,01010101,01010101,01010101,01010101,01010101,01010101
01110100,01110100,01110100,01110100,01110100,01110100,01110100
10110100,10110100,10110100,10110100,10110100,10110100,10110100
11110000,11110000,11110000,11110000,11110000,11110000,11110000
00010111,00010111,00010111,00010111,00010111,00010111,00010111
00011110,00011110,00011110,00011110,00011110,00011110,00011110
00101011,00101011,00101011,00101011,00101011,00101011,00101011
01010101,01010101,01010101,01010101,01010101,01010101,01010101
01110100,01110100,01110100,01110100,01110100,01110100,01110100
10110100,10110100,10110100,10110100,10110100,10110100,10110100
11110000,11110000,11110000,11110000,11110000,11110000,11110000
00010111,00010111,00010111,00010111,00010111,00010111,00010111
00011110,00011110,00011110,00011110,00011110,00011110,00011110
00101011,00101011,00101011,00101011,00101011,00101011,00101011
01010101,01010101,01010101,01010101,01010101,01010101,01010101
01110100,01110100,01110100,01110100,01110100,01110100,01110100
10110100,10110100,10110100,10110100,10110100,10110100,10110100
11110000,11110000,11110000,11110000,11110000,11110000,11110000
00010111,00010111,00010111,00010111,00010111,00010111,00010111
00011110,00011110,00011110,00011110,00011110,00011110,00011110
00101011,00101011,00101011,00101011,00101011,00101011,00101011
01010101,01010101,01010101,01010101,01010101,01010101,01010101
01110100,01110100,01110100,01110100,01110100,01110100,01110100
10110100,10110100,10110100,10110100,10110100,10110100,10110100
11110000,11110000,11110000,11110000,11110000,11110000,11110000
00010111,00010111,00010111,00010111,00010111,00010111,00010111
00011110,00011110,00011110,00011110,00011110,00011110,00011110
00101011,00101011,00101011,00101011,00101011,00101011,00101011
01010101,01010101,01010101,01010101,01010101,01010101,01010101
01110100,01110100,01110100,01110100,01110100,01110100,01110100
10110100,10110100,10110100,10110100,10110100,10110100,10110100
11110000,11110000,11110000,11110000,11110000,11110000,11110000
00010111,00010111,00010111,00010111,00010111,00010111,00010111
00011110,00011110,00011110,00011110,00011110,00011110,00011110
00101011,00101011,00101011,00101011,00101011,00101011,00101011
01010101,01010101,01010101,01010101,01010101,01010101,01010101
01110100,01110100,01110100,01110100,01110100,01110100,01110100
10110100,10110100,10110100,10110100,10110100,10110100,10110100
11110000,11110000,11110000,11110000,11110000,11110000,11110000
